Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,MonthlyCharges,Churn
Yes,No,1,No,No,DSL,No,Yes,No,No,29.85,No
No,No,34,Yes,No,DSL,Yes,No,Yes,No,56.95,No
No,No,2,Yes,No,DSL,Yes,Yes,No,No,53.85,Yes
No,No,45,No,No,DSL,Yes,No,Yes,Yes,42.3,No
No,No,2,Yes,No,Fiber optic,No,No,No,No,70.7,Yes
No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,99.65,Yes
No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,89.1,No
No,No,10,No,No,DSL,Yes,No,No,No,29.75,No
Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,104.8,Yes
No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,56.15,No
Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,49.95,No
No,No,16,Yes,No,No,No,No,No,No,18.95,No
Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,100.35,No
No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,103.7,Yes
No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,105.5,No
Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,113.25,No
No,No,52,Yes,No,No,No,No,No,No,20.65,No
No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,106.7,No
Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,55.2,Yes
No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,90.05,No
No,No,1,No,No,DSL,No,No,Yes,No,39.65,Yes
Yes,No,12,Yes,No,No,No,No,No,No,19.8,No
No,No,1,Yes,No,No,No,No,No,No,20.15,Yes
Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,59.9,No
Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,59.6,No
No,No,30,Yes,No,DSL,Yes,Yes,No,No,55.3,No
Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,99.35,Yes
Yes,Yes,1,No,No,DSL,No,Yes,No,No,30.2,Yes
Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,90.25,No
No,Yes,17,Yes,No,DSL,No,No,No,No,64.7,Yes
Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,96.35,No
Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,95.5,No
Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,66.15,No
No,No,1,Yes,No,No,No,No,No,No,20.2,No
No,No,1,Yes,No,DSL,No,No,No,No,45.25,No
Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,99.9,No
No,No,5,Yes,No,Fiber optic,No,No,No,No,69.7,Yes
No,No,46,Yes,No,Fiber optic,No,No,Yes,No,74.8,No
No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,106.35,Yes
No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,97.85,Yes
Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,49.55,No
Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,69.2,No
Yes,Yes,17,Yes,No,No,No,No,No,No,20.75,No
No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,79.85,No
Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,76.2,No
No,No,49,Yes,Yes,Fiber optic,No,No,No,No,84.5,No
No,No,2,Yes,No,DSL,No,Yes,No,No,49.25,No
No,No,2,Yes,No,Fiber optic,No,No,No,No,80.65,Yes
No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,79.75,No
Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,64.15,No
No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,90.25,No
No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,99.1,Yes
Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,69.5,No
Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,80.65,Yes
Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,74.85,No
No,No,18,Yes,Yes,Fiber optic,No,No,No,No,95.45,Yes
Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,99.65,No
Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,108.45,No
Yes,Yes,34,Yes,Yes,No,No,No,No,No,24.95,No
No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,107.5,No
Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,100.5,No
No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,89.9,No
Yes,No,72,No,No,DSL,Yes,Yes,Yes,No,42.1,No
Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,54.4,No
No,No,9,Yes,Yes,Fiber optic,No,No,No,No,94.4,Yes
No,No,3,Yes,No,DSL,No,Yes,No,Yes,75.3,No
Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,78.9,No
No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,79.2,No
Yes,Yes,50,Yes,No,No,No,No,No,No,20.15,No
No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,79.85,No
No,No,1,Yes,No,DSL,No,No,No,Yes,49.05,No
Yes,Yes,52,Yes,No,No,No,No,No,No,20.4,No
Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,111.6,No
Yes,Yes,62,Yes,Yes,No,No,No,No,No,24.25,No
No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,64.5,No
No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,110.5,No
No,No,46,Yes,No,DSL,No,No,No,No,55.65,No
Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,54.65,No
No,No,30,Yes,No,DSL,Yes,Yes,No,No,74.75,No
Yes,Yes,45,Yes,Yes,No,No,No,No,No,25.9,No
No,Yes,1,Yes,No,Fiber optic,No,No,No,No,79.35,Yes
Yes,Yes,11,No,No,DSL,Yes,No,No,No,50.55,No
Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,75.15,Yes
No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,103.8,No
Yes,No,49,Yes,No,No,No,No,No,No,20.15,No
No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,99.3,No
Yes,No,35,Yes,No,DSL,Yes,No,No,No,62.15,No
Yes,Yes,48,Yes,No,No,No,No,No,No,20.65,No
Yes,Yes,46,Yes,No,No,No,No,No,No,19.95,No
Yes,No,29,No,No,DSL,No,No,No,No,33.75,No
Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,82.05,No
No,No,1,Yes,No,Fiber optic,No,No,No,Yes,74.7,No
Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,84,No
No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,111.05,No
No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,100.9,No
No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,78.95,Yes
Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,66.85,No
No,No,5,Yes,No,No,No,No,No,No,21.05,Yes
No,No,52,Yes,No,No,No,No,No,No,21,No
Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,98.5,Yes
No,No,1,Yes,No,No,No,No,No,No,20.2,No
Yes,Yes,1,Yes,No,No,No,No,No,No,19.45,No
No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,95,No
Yes,No,66,No,No,DSL,No,Yes,Yes,No,45.55,No
Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,110,Yes
No,No,5,No,No,DSL,No,No,No,No,24.3,No
Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,104.15,No
No,No,32,No,No,DSL,Yes,No,No,No,30.15,No
No,No,43,Yes,Yes,Fiber optic,No,No,No,No,94.35,No
Yes,Yes,72,Yes,No,No,No,No,No,No,19.4,No
Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,96.75,Yes
No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,57.95,No
No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,91.65,No
Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,76.5,Yes
Yes,Yes,64,No,No,DSL,No,Yes,No,Yes,54.6,No
Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,89.85,No
No,No,36,No,No,DSL,Yes,No,No,No,31.05,No
Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,100.25,Yes
No,No,41,Yes,No,No,No,No,No,No,20.65,No
Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,85.2,No
Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,99.8,No
No,No,6,Yes,No,No,No,No,No,No,20.7,No
No,No,3,Yes,Yes,Fiber optic,No,No,No,No,74.4,Yes
Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,50.7,No
Yes,Yes,4,Yes,No,No,No,No,No,No,20.85,No
No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,88.95,No
No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,78.05,Yes
Yes,No,72,Yes,Yes,No,No,No,No,No,23.55,No
No,No,1,Yes,No,No,No,No,No,No,19.75,No
No,No,71,No,No,DSL,Yes,Yes,No,No,56.45,No
No,No,13,Yes,Yes,Fiber optic,No,No,No,No,85.95,No
Yes,Yes,25,No,No,DSL,Yes,Yes,Yes,No,58.6,Yes
No,No,67,Yes,No,DSL,No,No,No,Yes,50.55,No
No,No,1,No,No,DSL,No,No,No,No,35.45,Yes
No,No,2,Yes,No,DSL,No,No,No,No,44.35,Yes
No,No,43,Yes,Yes,No,No,No,No,No,25.7,No
No,No,23,Yes,No,Fiber optic,Yes,No,No,No,75,No
Yes,Yes,64,Yes,No,No,No,No,No,No,20.2,No
No,Yes,57,Yes,No,No,No,No,No,No,19.6,No
Yes,No,1,Yes,No,Fiber optic,No,No,No,No,70.45,Yes
Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,88.05,No
No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,71.15,Yes
Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,101.05,No
No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,84.3,No
Yes,No,71,Yes,Yes,No,No,No,No,No,23.95,No
Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,99.05,No
No,No,3,Yes,No,No,No,No,No,No,19.6,No
No,No,1,Yes,No,DSL,No,No,No,No,45.65,Yes
No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,64.5,No
Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,69.5,No
Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,68.55,No
No,No,7,Yes,Yes,Fiber optic,No,No,No,No,95,Yes
Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,108.15,No
